spring,129,0,194
spring,196,48,255
spring,215,122,255
spring,236,191,255
spring,219,154,0
spring,112,0,32
spring,255,56,142
spring,230,0,255
spring,233,92,255
spring,255,128,151
spring,255,59,95
spring,250,30,41
spring,250,51,47
spring,247,90,79
spring,255,125,125
spring,252,89,48
spring,250,103,35
spring,255,109,87
spring,240,105,98
spring,250,107,117
spring,194,100,0
spring,255,165,56
spring,255,140,59
spring,255,179,128
spring,255,225,191
spring,255,198,54
spring,255,224,48
spring,255,255,28
spring,255,255,120
spring,255,217,191
spring,191,191,0
spring,136,199,0
spring,200,255,48
spring,218,255,125
spring,255,255,153
spring,0,128,0
spring,0,191,0
spring,191,255,191
spring,255,245,191
spring,255,255,189
spring,0,150,98
spring,0,140,115
spring,20,199,154
spring,162,242,217
spring,199,255,255
spring,0,143,143
spring,24,181,160
spring,36,209,209
spring,98,217,213
spring,77,255,255
spring,30,62,158
spring,38,45,255
spring,16,122,179
spring,127,125,255
spring,191,191,255
spring,84,84,84
spring,71,41,34
spring,109,112,108
spring,204,200,194
spring,250,30,41
spring,255,61,97
spring,255,153,153
spring,219,154,0
spring,171,171,171
spring,242,36,47
spring,255,109,87
spring,245,108,115
spring,255,125,149
spring,237,142,160
spring,240,141,141
spring,255,125,125
spring,124,120,255
spring,153,224,255
spring,132,189,240
spring,108,0,150
spring,129,0,194
spring,148,80,171
spring,240,207,255
spring,192,191,255
spring,25,181,160
spring,20,199,154
spring,165,242,218
spring,82,199,199
spring,140,255,255
spring,94,186,89
spring,137,199,2
spring,219,255,102
spring,218,255,125
spring,198,227,141
spring,191,204,114
spring,255,255,0
spring,255,255,117
spring,255,255,153
spring,165,209,4
spring,196,137,0
spring,227,166,43
spring,255,228,25
spring,255,235,125
spring,255,239,173
spring,255,140,59
spring,252,185,104
spring,255,179,125
spring,255,216,189
spring,255,225,189
spring,232,194,149
spring,207,178,138
spring,240,221,192
spring,219,198,171
spring,255,247,191
spring,49,48,82
spring,35,50,122
spring,58,83,112
spring,122,226,255
spring,255,247,191
spring,92,32,2
spring,135,42,16
spring,130,67,0
spring,167,171,166
spring,159,171,123
spring,204,200,192
spring,255,255,255
summer,227,0,4
summer,255,125,125
summer,242,162,178
summer,204,204,190
summer,219,154,0
summer,232,84,111
summer,250,107,117
summer,255,128,151
summer,250,167,160
summer,217,180,196
summer,128,0,51
summer,148,70,117
summer,224,126,196
summer,233,145,237
summer,255,191,219
summer,214,43,134
summer,230,190,228
summer,230,211,220
summer,245,196,231
summer,254,255,181
summer,108,0,150
summer,129,0,194
summer,148,79,171
summer,218,191,255
summer,252,249,146
summer,120,103,184
summer,151,125,255
summer,90,199,250
summer,209,217,208
summer,252,248,204
summer,60,110,143
summer,124,120,255
summer,28,181,252
summer,129,188,240
summer,214,204,186
summer,35,50,122
summer,98,148,240
summer,146,180,240
summer,181,223,255
summer,219,219,219
summer,32,125,123
summer,0,143,143
summer,82,199,199
summer,65,232,229
summer,140,255,255
summer,20,156,117
summer,23,130,123
summer,20,199,154
summer,146,240,223
summer,162,242,217
summer,148,137,123
summer,212,192,163
summer,56,37,24
summer,153,153,153
